LAC,CI,LAC-CI,latitude,longtitude
10005,29894,10005-29894,23.09922,113.26877
10005,29895,10005-29895,23.09922,113.26877
10005,29896,10005-29896,23.09922,113.26877
10005,29897,10005-29897,23.09922,113.26877
10005,30054,10005-30054,23.0999,113.27
10005,30055,10005-30055,23.0999,113.27
10005,30128,10005-30128,23.09922,113.26877
10005,30129,10005-30129,23.09922,113.26877
10005,30132,10005-30132,23.0999,113.27
10005,31691,10005-31691,23.101953,113.277822
10005,33774,10005-33774,23.101952,113.277822
10005,33775,10005-33775,23.101953,113.277822
10005,34734,10005-34734,23.10101,113.27564
10005,34974,10005-34974,23.100704,113.280609
10005,50685,10005-50685,23.0999,113.27
10005,52123,10005-52123,23.09922,113.26877
10005,52664,10005-52664,23.102691,113.276361
10005,59097,10005-59097,23.10218,113.27815
10005,59098,10005-59098,23.10218,113.27815
10005,59099,10005-59099,23.10218,113.27815
10007,28501,10007-28501,23.43473,113.18502
10007,28502,10007-28502,23.43473,113.18502
10007,28503,10007-28503,23.43473,113.18502
10008,27025,10008-27025,23.20279,113.80922
10008,28104,10008-28104,23.24659,113.85911
10008,28105,10008-28105,23.24659,113.85911
10008,28106,10008-28106,23.24659,113.85911
10008,28107,10008-28107,23.24659,113.85911
10008,28108,10008-28108,23.24659,113.85911
10008,28109,10008-28109,23.24659,113.85911
10009,18987,10009-18987,23.12083,113.2372
10009,18991,10009-18991,23.12832,113.2419
10009,18997,10009-18997,23.10108,113.2308
10009,19001,10009-19001,23.12778,113.26
10009,19002,10009-19002,23.12778,113.26
10034,11852,10034-11852,23.12375,113.40195
10009,19007,10009-19007,23.11139,113.2353
10009,19011,10009-19011,23.12943,113.2792
10009,19014,10009-19014,23.12905,113.26996
10009,19017,10009-19017,23.12778,113.2508
10009,19024,10009-19024,23.12778,113.26
10009,19027,10009-19027,23.11807,113.25979
10009,19031,10009-19031,23.15054,113.2517
10009,19034,10009-19034,23.1361,113.2581
10009,19037,10009-19037,23.10056,113.2681
10009,19054,10009-19054,23.16284,113.25129
10009,19057,10009-19057,23.10943,113.2642
10009,19071,10009-19071,23.14255,113.25582
10009,29027,10009-29027,23.12943,113.2792
10009,34497,10009-34497,23.12778,113.26
10009,34557,10009-34557,23.12905,113.26996
10009,37181,10009-37181,23.12867,113.22729
10009,37184,10009-37184,23.14269,113.2283
10009,37187,10009-37187,23.14386,113.23681
10009,37201,10009-37201,23.15037,113.25243
10009,37204,10009-37204,23.14187,113.27034
10009,37207,10009-37207,23.13869,113.28172
10009,37211,10009-37211,23.13719,113.29148
10009,53246,10009-53246,23.09587,113.27746
10010,10541,10010-10541,23.07835,113.34808
10010,11863,10010-11863,23.08315,113.34632
10010,12924,10010-12924,23.08135,113.3171
10010,12925,10010-12925,23.08135,113.3171
10010,12926,10010-12926,23.08135,113.3171
10010,13047,10010-13047,23.08694,113.3364
10010,13048,10010-13048,23.08694,113.3364
10010,13049,10010-13049,23.08694,113.3364
10010,13051,10010-13051,23.08694,113.3364
10010,13052,10010-13052,23.08694,113.3364
10010,13053,10010-13053,23.08694,113.3364
10010,13804,10010-13804,23.08497,113.3198
10010,17207,10010-17207,23.08314,113.34607
10010,18241,10010-18241,23.08791,113.31911
10010,18242,10010-18242,23.08791,113.31911
10010,19094,10010-19094,23.08791,113.31911
10010,19095,10010-19095,23.08791,113.31911
10010,19096,10010-19096,23.08791,113.31911
10010,19101,10010-19101,23.08491,113.31974
10010,19102,10010-19102,23.08491,113.31974
10010,19103,10010-19103,23.08491,113.31974
10010,19104,10010-19104,23.08491,113.31974
10010,19105,10010-19105,23.08491,113.31974
10010,19106,10010-19106,23.08491,113.31974
10010,19110,10010-19110,23.08491,113.31974
10010,19137,10010-19137,23.081229,113.324978
10010,19138,10010-19138,23.081229,113.324978
10010,19139,10010-19139,23.081229,113.324978
10010,19141,10010-19141,23.081229,113.324978
10010,19142,10010-19142,23.081229,113.324978
10010,19143,10010-19143,23.081229,113.324978
10010,19157,10010-19157,23.083059,113.320026
10010,19234,10010-19234,23.08135,113.3171
10010,19235,10010-19235,23.08135,113.3171
10010,19236,10010-19236,23.08135,113.3171
10010,21084,10010-21084,23.08497,113.3198
10010,21354,10010-21354,23.0867,113.33751
10010,26234,10010-26234,23.09097,113.31992
10010,28221,10010-28221,23.08622,113.324
10010,31177,10010-31177,23.08448,113.32156
10010,50322,10010-50322,23.08057,113.34776
10010,50323,10010-50323,23.08057,113.34776
10010,50822,10010-50822,23.08315,113.34632
10010,52014,10010-52014,23.088878,113.34134
10010,52015,10010-52015,23.088878,113.34134
10010,52498,10010-52498,23.08818,113.32434
10010,52503,10010-52503,23.08893,113.32337
10010,52506,10010-52506,23.08933,113.32136
10010,52512,10010-52512,23.08856,113.34465
10010,52513,10010-52513,23.08856,113.34465
10010,52514,10010-52514,23.08856,113.34465
10010,53351,10010-53351,23.08534,113.32953
10010,53352,10010-53352,23.08534,113.32953
10010,53353,10010-53353,23.08534,113.32953
10010,53354,10010-53354,23.08534,113.32953
10010,53357,10010-53357,23.07656,113.33796
10010,53358,10010-53358,23.07656,113.33796
10010,53359,10010-53359,23.07656,113.33796
10010,53361,10010-53361,23.07656,113.33796
10010,53362,10010-53362,23.07656,113.33796
10010,53363,10010-53363,23.07656,113.33796
10010,53374,10010-53374,23.08584,113.32415
10010,53375,10010-53375,23.08584,113.32415
10010,53376,10010-53376,23.08584,113.32415
10010,53377,10010-53377,23.0828,113.33276
10010,53378,10010-53378,23.0828,113.33276
10010,53379,10010-53379,23.0828,113.33276
10010,53381,10010-53381,23.0828,113.33276
10010,53382,10010-53382,23.0828,113.33276
10010,53383,10010-53383,23.0828,113.33276
10010,53391,10010-53391,23.08042,113.34397
10010,53392,10010-53392,23.08042,113.34397
10010,53393,10010-53393,23.08042,113.34397
10010,53394,10010-53394,23.08042,113.34397
10010,53395,10010-53395,23.08042,113.34397
10010,53396,10010-53396,23.08042,113.34397
10010,54824,10010-54824,23.09203,113.31812
10010,55501,10010-55501,23.08262,113.34709
10010,55502,10010-55502,23.08262,113.34709
10010,55503,10010-55503,23.08262,113.34709
10010,55984,10010-55984,23.09119,113.32274
10010,58731,10010-58731,23.08811,113.32642
10010,58732,10010-58732,23.08811,113.32642
10010,58733,10010-58733,23.08811,113.32642
10010,58915,10010-58915,23.08488,113.33951
10010,58916,10010-58916,23.08488,113.33951
10010,59704,10010-59704,23.08344,113.33059
10010,59705,10010-59705,23.08344,113.33059
10010,59706,10010-59706,23.08344,113.33059
10013,11791,10013-11791,23.20864,113.23018
10013,13634,10013-13634,23.23178,113.21205
10013,13635,10013-13635,23.23178,113.21205
10013,13636,10013-13636,23.23178,113.21205
10013,13637,10013-13637,23.23178,113.21205
10013,15661,10013-15661,23.22031,113.21212
10013,15662,10013-15662,23.22031,113.21212
10013,15663,10013-15663,23.22031,113.21212
10013,15664,10013-15664,23.22031,113.21212
10013,15665,10013-15665,23.22031,113.21212
10013,15666,10013-15666,23.22031,113.21212
10013,15670,10013-15670,23.22031,113.21212
10013,17961,10013-17961,23.21639,113.2206
10013,17962,10013-17962,23.21639,113.2206
10013,17964,10013-17964,23.21639,113.2206
10013,17965,10013-17965,23.21639,113.2206
10013,17966,10013-17966,23.21639,113.2206
10013,17967,10013-17967,23.21977,113.22781
10013,17969,10013-17969,23.21977,113.22781
10013,17977,10013-17977,23.20306,113.22306
10013,17981,10013-17981,23.21349,113.21549
10013,17982,10013-17982,23.21349,113.21549
10013,17983,10013-17983,23.21349,113.21549
10013,17984,10013-17984,23.2164,113.22057
10013,17994,10013-17994,23.20708,113.21429
10013,17997,10013-17997,23.20708,113.21429
10013,18017,10013-18017,23.2063,113.23144
