,lat,long,roleID
10324-2851,23.552789999999998,113.776322,5
42265-45991,23.128632,113.303577,5
42261-11621,23.37005,113.20409,5
42261-11623,23.37005,113.20409,5
42261-11622,23.37005,113.20409,5
42266-62391,23.17077,113.22437,5
42266-62392,23.17077,113.22437,5
42266-62393,23.17077,113.22437,5
42259-43631,0.0,0.0,0
10037-44861,23.313407,113.09461,5
10037-44863,23.311446,113.08776100000001,0
10037-44862,23.309917000000002,113.10303200000001,5
10024-26159,23.387271,113.825158,5
10024-26158,23.387418,113.82858,5
42267-2326,22.97148,113.31707,5
42259-25341,0.0,0.0,0
10024-26157,23.393747,113.83211299999999,5
42259-25343,0.0,0.0,0
42288-23698,23.3279,113.76085,0
42288-23697,23.3279,113.76085,0
10036-21489,23.22888,113.29973000000001,5
10036-21488,23.22888,113.29973000000001,5
42267-21873,23.05441,113.36838999999999,5
42261-24913,23.43155,113.18838999999998,5
42261-24912,23.43155,113.18838999999998,5
42261-24911,23.43155,113.18838999999998,5
9492-37891,23.10736,113.28469,5
10036-21487,23.22888,113.29973000000001,5
10036-21486,23.22336,113.29621999999999,5
10036-21485,23.22336,113.29621999999999,5
10036-21484,23.22336,113.29621999999999,5
42259-58061,0.0,0.0,0
9434-10474,22.949098,113.355515,5
10311-19264,23.07959,113.28955,5
42268-26532,22.941270000000003,113.38271,5
42268-26533,22.941270000000003,113.38271,5
10043-53202,23.142975,113.29839299999999,5
42268-26531,22.941270000000003,113.38271,5
10299-28086,23.130370000000003,113.36785,5
10299-28085,23.130370000000003,113.36785,5
10299-28084,23.130370000000003,113.36785,5
42266-62931,23.075758,113.247896,5
42266-62932,23.075758,113.247896,5
42266-62933,23.075758,113.247896,5
10311-19268,23.07959,113.28955,5
42268-5773,22.935879999999997,113.38553,5
42263-12826,22.713520000000003,113.63415,4
42263-12827,22.713520000000003,113.63415,4
42263-12828,22.713520000000003,113.63415,4
10034-41548,23.13267,113.4021,5
10034-41549,23.13267,113.4021,5
10034-41547,23.13267,113.4021,5
10015-30617,23.10389,113.5389,5
10302-32177,23.067829999999997,113.53066000000001,5
10332-20257,22.897183,113.41644,5
9447-20476,22.996759,113.357156,5
9447-20474,22.998685000000002,113.363923,5
9447-20475,22.992960999999998,113.3639,5
9675-55424,22.942578,113.309096,5
9464-48952,23.303107999999998,113.57371100000002,5
9464-48951,23.30861,113.585632,4
42265-47001,23.142791,113.26736100000001,5
9429-20691,22.865953,113.30725100000001,4
10324-51644,23.56748,113.61471,5
42288-18901,23.234389999999998,113.82696999999999,5
42288-18902,23.234389999999998,113.82696999999999,5
42288-18903,23.234389999999998,113.82696999999999,5
9430-31444,23.26745,113.24512,5
42266-41721,23.097448999999997,113.30610700000001,5
42265-6862,23.130489999999998,113.33746000000001,5
42265-6863,23.130489999999998,113.33746000000001,5
42265-6861,23.130489999999998,113.33746000000001,5
42268-59233,22.92458,113.35564,5
42268-59232,22.92458,113.35564,5
42268-59231,22.92458,113.35564,5
10040-56527,23.277292000000003,113.512427,0
10325-52729,23.17042,113.37741000000001,5
10325-52728,23.17042,113.37741000000001,5
10325-52727,23.17042,113.37741000000001,5
9423-24641,23.119,113.30897,5
9423-24647,23.10717,113.30756000000001,5
9423-24646,23.116870000000002,113.30821,5
9423-24645,23.11611,113.3084,5
9423-24644,23.11611,113.3084,5
10321-54933,23.343396,113.22176499999999,5
42265-54781,23.126117999999998,113.339164,5
10009-19054,23.16284,113.25129,5
10009-19057,23.10943,113.2642,5
42265-54782,23.126117999999998,113.339164,5
10324-34091,23.5375,113.60333999999999,5
10324-34092,23.5375,113.60333999999999,5
10324-34093,23.5375,113.60333999999999,5
42265-45601,23.125783,113.33438400000001,5
10032-39143,22.651082000000002,113.59806699999999,3
10032-39142,22.644398000000002,113.599457,3
10032-39141,22.641735,113.606302,5
10032-39144,22.74074,113.520693,5
10311-35621,23.07564,113.28426999999999,5
10311-35622,23.07564,113.28426999999999,5
10311-35623,23.07564,113.28426999999999,5
9429-57937,22.90369,113.339548,5
10004-24804,23.180989999999998,113.3203,5
9745-44977,23.374723,113.24299599999999,5
10299-35355,23.11307,113.36856999999999,5
10299-35354,23.11307,113.36856999999999,5
42261-61073,23.458660000000002,113.17078000000001,5
42260-6876,23.2005,113.25341999999999,5
42267-13721,23.0042,113.3889,5
42267-13722,23.0042,113.3889,5
42267-13723,23.0042,113.3889,5
42265-12952,23.0883,113.31918,5
42265-12953,23.0883,113.31918,5
42265-12951,23.0883,113.31918,5
10320-56864,23.219479999999997,113.25058,5
42265-14503,23.1294,113.3454,5
42265-14502,23.1294,113.3454,5
42265-14501,23.1294,113.3454,5
10318-18016,23.19166,113.2264,5
10318-18015,23.19166,113.2264,5
10318-18014,23.19166,113.2264,5
10318-18013,23.19166,113.2264,5
10318-18012,23.19166,113.2264,5
10318-18011,23.19166,113.2264,5
42289-16613,23.55688,113.57977,5
42289-16612,23.55688,113.57977,5
42289-16611,23.55688,113.57977,5
42259-4161,0.0,0.0,0
9452-17898,23.12377,113.28634,5
9452-17899,23.12377,113.28634,5
42265-2631,0.0,0.0,0
42266-3572,23.15749,113.23071999999999,5
42266-3573,23.15749,113.23071999999999,5
42266-3571,23.15749,113.23071999999999,5
9440-61877,23.27352,113.20183,5
9452-17897,23.12377,113.28634,5
9746-15643,23.16405,113.22445,5
10013-18018,23.2063,113.23143999999999,5
9746-15641,23.16405,113.22445,5
9746-15646,23.16405,113.22445,5
9746-15645,23.16405,113.22445,5
9746-15644,23.16405,113.22445,5
9439-33331,23.178810000000002,113.25661000000001,5
10032-20871,22.63503,113.681923,1
10032-20873,22.641617999999998,113.667065,5
10032-20872,22.626839999999998,113.676239,1
10006-12206,23.399428,113.221079,5
10006-12204,23.398125,113.222857,5
10006-12205,23.396524,113.221025,5
9430-23657,23.249679999999998,113.24727,5
42259-63913,0.0,0.0,0
42259-63912,0.0,0.0,0
42259-63911,0.0,0.0,0
9453-13341,23.134510000000002,113.26687,5
9453-13342,23.134547,113.26761,5
9491-12284,23.10357,113.356703,5
9491-12287,23.102722,113.35663500000001,5
9484-11141,23.11744,113.25777,5
42260-896,23.18683,113.25141,5
9466-21294,23.17667,113.34138999999999,5
9479-55549,23.16504,113.32619199999999,5
10303-51578,23.462849,113.137823,5
42265-12221,23.10277,113.28866000000001,5
42265-12222,23.10277,113.28866000000001,5
42265-12223,23.10277,113.28866000000001,5
42289-10758,23.58302,113.72425,0
42263-22391,22.75805,113.55563000000001,5
42263-22393,22.75805,113.55563000000001,5
42263-22392,22.75805,113.55563000000001,5
42289-10756,23.58302,113.72425,0
42289-10757,23.58302,113.72425,0
42259-26932,0.0,0.0,0
42259-26933,0.0,0.0,0
42259-26931,0.0,0.0,0
10003-11321,23.205317,113.236876,5
10323-59336,23.308449,113.81706399999999,5
10027-21661,23.143824,113.61253,5
10027-21663,23.146883,113.60453500000001,5
10027-21662,23.134523,113.60628600000001,5
9469-20472,23.0962,113.3107,5
9469-20473,23.0962,113.3107,5
9469-20471,23.0962,113.3107,5
9442-11648,0.0,0.0,0
10041-59821,23.18454,113.24371000000001,5
10041-59822,23.18454,113.24371000000001,5
10041-59823,23.18454,113.24371000000001,5
10008-65516,23.202939999999998,113.885268,2
9484-35364,23.11495,113.25708999999999,5
9484-35361,23.11579,113.25692,5
42268-63531,22.92247,113.37274,5
42268-63533,22.92247,113.37274,5
42268-63532,22.92247,113.37274,5
9745-17794,23.381644,113.24518400000001,5
9459-39654,23.13656,113.34822,5
9745-17796,23.384839000000003,113.241772,5
9508-58617,23.121129999999997,113.27088,5
9734-31025,23.15294,113.24181999999999,5
9508-58619,23.121129999999997,113.27088,5
9508-58618,23.121129999999997,113.27088,5
42259-17121,0.0,0.0,0
9489-27257,23.129421,113.24908400000001,5
42259-17122,0.0,0.0,0
42263-25282,22.790860000000002,113.49763,5
42263-25283,22.790860000000002,113.49763,5
42263-25281,22.790860000000002,113.49763,5
42259-51261,0.0,0.0,0
9461-22512,22.962509,113.409274,5
9461-22511,22.962208,113.413752,5
9745-10687,23.398375,113.225828,5
10321-58001,23.359362,113.219827,5
42261-42671,23.396944,113.211528,5
10003-27921,23.20465,113.24323000000001,5
42265-3511,23.11952,113.39451000000001,5
42265-3513,23.11952,113.39451000000001,5
42265-3512,23.11952,113.39451000000001,5
42259-16981,0.0,0.0,0
42259-16982,0.0,0.0,0
42259-16983,0.0,0.0,0
42259-6281,23.16112,113.32014,5
42259-6283,23.16112,113.32014,5
42259-6282,23.16112,113.32014,5
42268-13068,22.85556,113.33695,5
10322-55937,23.29636,113.35163999999999,5
42268-13066,22.85556,113.33695,5
42268-13067,22.85556,113.33695,5
42265-21591,23.07656,113.33796000000001,5
42265-21592,23.07656,113.33796000000001,5
42265-21593,23.07656,113.33796000000001,5
10007-33314,0.0,0.0,0
10007-33315,0.0,0.0,0
42267-30172,23.072023,113.391319,5
42267-30171,23.072023,113.391319,5
42289-10456,23.60916,113.60862,3
9743-28749,23.289117,113.84200700000001,5
9743-28748,23.284865,113.838889,5
9742-55541,23.17223,113.66789299999999,5
9742-55542,23.168456,113.662585,5
9742-55543,23.176358,113.66403700000001,5
9474-14684,23.13691,113.33426999999999,5
42263-23421,22.82306,113.5168,5
42263-23422,22.82306,113.5168,5
9474-14687,23.13803,113.33776999999999,5
9474-14688,23.13803,113.33776999999999,5
9474-14689,23.13803,113.33776999999999,5
42259-44621,23.144465,113.335599,5
10302-19592,23.06646,113.509,5
10314-59502,23.079715,113.316741,5
10314-59503,23.084927,113.314924,5
9475-53038,23.155851000000002,113.447115,5
10314-59504,23.083696,113.31813799999999,5
42266-10672,23.10318,113.26776000000001,5
42266-10673,23.10318,113.26776000000001,5
42266-10671,23.10318,113.26776000000001,5
10038-35041,23.14085,113.49600000000001,5
10038-35042,23.14085,113.49600000000001,5
10038-35043,23.14085,113.49600000000001,5
9729-15068,23.15429,113.34861000000001,5
9729-15066,23.154870000000003,113.34841999999999,5
9729-15067,23.15429,113.34861000000001,5
9729-15064,23.154870000000003,113.34841999999999,5
9729-15065,23.154870000000003,113.34841999999999,5
9495-46688,23.14031,113.31863,5
42266-35603,23.11777,113.27366599999999,5
42266-35601,23.11777,113.27366599999999,5
42266-35606,23.11777,113.27366599999999,5
42266-35604,23.11777,113.27366599999999,5
42266-35605,23.11777,113.27366599999999,5
9495-46681,23.13505,113.31693,5
9495-46684,23.13545,113.31792,5
9495-46687,23.14031,113.31863,5
9430-59203,23.266658,113.26771799999999,5
10320-56043,23.21035,113.26373000000001,5
10320-56042,23.21035,113.26373000000001,5
10320-56041,23.21035,113.26373000000001,5
42263-64671,22.67843,113.66126000000001,4
42263-64672,22.67843,113.66126000000001,4
42263-64673,22.67843,113.66126000000001,4
10327-20416,23.15269,113.31107,5
42259-14587,23.139836,113.352934,5
10327-20414,23.15269,113.31107,5
10327-20415,23.15269,113.31107,5
42265-62551,23.11216,113.40187,5
10309-53913,22.749456,113.44906200000001,5
42265-62553,23.11216,113.40187,5
42265-62552,23.11216,113.40187,5
10309-53912,22.732689,113.46911200000001,5
42259-14588,23.139836,113.352934,5
9487-50736,23.1416,113.213,5
9453-27153,23.1341,113.279,5
9453-27152,23.1341,113.279,5
9453-27151,23.1341,113.279,5
9447-17107,22.995378,113.335128,5
9487-50738,23.1416,113.213,5
10324-51329,23.57527,113.61193999999999,5
10324-51328,23.55436,113.59476000000001,5
42261-61161,23.43321,113.21405,5
42265-26161,23.127029999999998,113.29381000000001,5
42265-26162,23.127029999999998,113.29381000000001,5
42265-26163,23.127029999999998,113.29381000000001,5
10324-51323,23.5825,113.59862,5
