,Loc,Traffic
10314-51218,,929264.0
9437-36742,"(23.13634, 113.26306)",929104.0
10011-14889,,928920.0
10040-29462,"(23.23833, 113.44804)",928486.0
10315-51171,,928221.0
9448-57944,,927589.0
9746-47394,,927543.0
9734-51341,"(23.15743, 113.24523)",926617.0
10318-36711,"(23.17507, 113.23232)",926171.0
10326-11655,,926021.0
10314-13628,"(23.06035, 113.31088)",925746.0
9730-53198,"(23.09853, 113.4837)",925128.0
10010-41027,,924730.0
9464-55855,,924205.0
9486-10384,"(23.20157, 113.25949)",924165.0
9736-52474,,924094.0
10306-1228,,924001.0
10032-10144,,923930.0
9488-23457,"(23.13578, 113.30541)",923876.0
9422-52613,,922969.0
9495-42641,"(23.14007, 113.31867)",922290.0
9730-54666,,922158.0
9440-55535,"(23.23902, 113.20971)",921297.0
9743-41211,,920780.0
9434-36275,"(22.9464, 113.3674)",920606.0
10038-21672,,920367.0
9437-30999,"(23.13318, 113.25509)",920295.0
10311-15447,,920196.0
9506-2317,"(23.8281, 113.99075)",920114.0
10017-53082,,919831.0
10318-47277,,919448.0
10022-65483,,919056.0
10040-23114,"(23.23094, 113.51338)",918020.0
9455-42461,,917759.0
10022-65418,,917022.0
10038-10471,"(23.13725, 113.50618)",915826.0
9480-51834,"(23.09184, 113.35249)",915721.0
10318-46847,,914731.0
9492-36452,"(23.10606, 113.29846)",914610.0
9740-55462,,914575.0
10323-36571,,914193.0
9453-27204,"(23.13355, 113.2741)",913059.0
10039-41914,"(23.4166, 113.54146)",912484.0
10043-23767,"(23.14215, 113.31123)",912444.0
10327-18762,,912011.0
10302-65410,"(23.06827, 113.53566)",911894.0
10034-15216,"(23.14237, 113.40639)",911781.0
10032-39144,,911698.0
9441-28552,,911433.0
9492-24624,"(23.11278, 113.3008)",911042.0
10309-35304,,910981.0
10303-65403,,910698.0
9481-52789,"(23.10628, 113.25348)",910508.0
10324-35472,"(23.53042, 113.58517)",910276.0
9447-38646,,909792.0
10039-35483,"(23.42614, 113.49142)",909094.0
9731-17945,"(23.20554, 113.27105)",908873.0
10024-36501,,908677.0
9436-54645,"(23.12104, 113.25044)",908384.0
9474-26302,"(23.13531, 113.33224)",908257.0
10317-16334,"(23.16206, 113.25056)",908243.0
10317-24154,"(23.1574, 113.25653)",907971.0
10029-43374,,907916.0
9459-52518,"(23.14378, 113.35689)",907807.0
9484-45301,"(23.114463, 113.264754)",907533.0
9470-51245,,907279.0
10043-41765,"(23.14678, 113.2955)",907182.0
10037-20442,,906784.0
9453-27745,"(23.1341, 113.279)",906766.0
9508-44514,,906322.0
9508-27857,"(23.12503, 113.27262)",906143.0
10032-65423,,906087.0
10024-58687,,906016.0
9464-12909,"(23.41612, 113.47346)",905645.0
9452-27751,"(23.1295, 113.29089)",905517.0
10305-33955,"(23.24965, 113.27208)",905048.0
9427-15792,,905009.0
9462-56302,,904942.0
9422-40985,"(23.19259, 113.37267)",904795.0
10013-15665,"(23.22031, 113.21212)",904749.0
9742-13679,,904317.0
9748-62766,"(23.66732, 113.40528)",904281.0
9450-53143,"(23.14569, 113.27293)",904205.0
10040-50302,,903539.0
9509-50814,,903070.0
9748-57697,,901973.0
9436-42709,,901689.0
10034-24671,"(23.13306, 113.39381)",901608.0
9447-37665,,901150.0
9496-65508,,900735.0
9472-30971,"(23.12436, 113.31811)",900727.0
9488-23537,"(23.13178, 113.30771)",900679.0
10037-65448,,900678.0
9451-10937,"(23.13752, 113.28252)",900439.0
9459-19834,"(23.13562, 113.36156)",900388.0
9742-20308,,899634.0
10007-39243,,899559.0
9486-38509,"(23.20582, 113.26169)",899402.0
9488-23481,"(23.13681, 113.302)",899269.0
9664-35699,,899030.0
10307-47114,,898781.0
9508-25737,"(23.12299, 113.2744)",898656.0
10023-18646,,898636.0
10327-24715,"(23.1519, 113.31426)",898502.0
9495-28727,"(23.13566, 113.31809)",898219.0
10310-37102,,898037.0
9464-35573,,897965.0
9455-42523,,897909.0
10039-11548,"(23.49694, 113.53961)",897871.0
9459-14116,"(23.14397, 113.3385)",897347.0
10323-17914,,896990.0
9482-24368,"(23.10105, 113.26497)",896927.0
10306-65414,,896534.0
10316-31471,"(23.12915, 113.26364)",895909.0
10324-59102,"(23.55553, 113.58937)",895848.0
10314-46288,,895396.0
10003-52416,,894988.0
9496-32628,,894881.0
9442-13569,,894782.0
9474-48507,,894752.0
10024-65407,,894239.0
9437-32534,"(23.14227, 113.25677)",894176.0
10302-55757,,893520.0
10309-65420,,893479.0
9444-38927,"(23.06697, 113.29559)",893351.0
10332-56877,,893302.0
9435-18394,,892561.0
10332-55553,,892415.0
10013-54925,"(23.2193, 113.21029)",892375.0
9484-20374,"(23.11807, 113.28037)",892354.0
9434-54621,,892000.0
10007-18081,,891696.0
10022-32813,,891017.0
10026-48914,,890762.0
9743-15494,,890752.0
10312-54781,,890619.0
9452-36437,"(23.12703, 113.29381)",890581.0
9425-10777,,890281.0
9461-20703,,889763.0
9447-28647,,889706.0
10038-24434,"(23.16693, 113.48392)",889180.0
9488-23501,"(23.1304, 113.30317)",889070.0
9475-55591,"(23.17414, 113.44656)",888793.0
10310-24083,,888692.0
9473-12254,,888657.0
9455-21281,,888459.0
9729-28024,"(23.15618, 113.33196)",888379.0
10004-27055,"(23.19022, 113.32805)",888358.0
10044-39974,"(23.5612, 113.55992)",887228.0
10317-14867,"(23.15988, 113.25211)",887220.0
9741-65434,,886744.0
10308-15767,,886743.0
9477-27226,"(23.33652, 113.18064)",886562.0
10017-38697,"(23.12233, 113.30028)",886468.0
10322-52556,"(23.31514, 113.31404)",886403.0
9487-46488,,885001.0
9479-14127,"(23.15663, 113.3274)",884509.0
9425-15254,"(23.18881, 113.40356)",884451.0
9442-28804,,884387.0
10325-49274,,884252.0
9481-52749,"(23.09544, 113.25015)",883682.0
9739-22014,,883526.0
9481-37248,"(23.08809, 113.25537)",882894.0
9424-10334,"(23.10017, 113.36477)",882262.0
9481-35811,"(23.09374, 113.26109)",882237.0
9481-11304,"(23.10621, 113.25296)",881949.0
10029-59272,,881933.0
9481-50812,,881878.0
9509-59348,,880661.0
9467-45434,,880564.0
9454-37957,"(23.088146, 113.290894)",880525.0
10008-65430,,880484.0
10006-22207,,879916.0
9427-26042,"(23.0701, 113.36544)",879479.0
9435-35047,,879462.0
10333-40375,,878988.0
9450-55371,,878985.0
10313-52838,"(23.11209, 113.25061)",878465.0
9454-20228,,877950.0
10316-58558,"(23.12551, 113.26503)",877865.0
9447-21271,,877590.0
9730-53197,"(23.09853, 113.4837)",877322.0
9509-28392,"(23.11737, 113.40553)",877190.0
9486-20564,"(23.2014, 113.2653)",877161.0
10313-40011,"(23.11248, 113.25221)",876166.0
10018-24257,,876156.0
10328-40501,"(23.13265, 113.29387)",875991.0
9434-59254,,875882.0
9423-43052,"(23.12448, 113.31135)",875841.0
9495-59073,"(23.13518, 113.31705)",875550.0
10040-49231,"(23.27131, 113.39937)",875336.0
9459-14018,"(23.13764, 113.35195)",875264.0
9461-22512,,874899.0
9692-22674,,874622.0
9425-55544,,874559.0
9664-33911,"(22.81166, 113.52249)",874154.0
9475-24457,"(23.13354, 113.45004)",874033.0
9423-65400,"(23.12203, 113.3089)",873900.0
9425-26677,"(23.17134, 113.41637)",873561.0
10026-50033,"(23.22327, 113.33149)",873027.0
10021-51197,,872893.0
9437-55931,,872461.0
9470-29644,"(23.14205, 113.31556)",872026.0
9459-52779,"(23.14718, 113.33965)",871939.0
10325-13068,"(23.16427, 113.35295)",871912.0
9746-14387,"(23.17532, 113.22047)",871890.0
9496-51135,,871576.0
9464-35571,,870947.0
9458-32254,"(23.08671, 113.21619)",870590.0
9442-50663,,870151.0
10024-51285,,869273.0
10310-21018,,869027.0
10308-28517,"(23.26127, 113.77549)",868885.0
9469-30441,"(23.10175, 113.31199)",868647.0
10315-58594,"(23.1499, 113.25629)",868562.0
9745-31909,,867192.0
10007-20446,,866752.0
10303-34083,,866372.0
10038-26647,"(23.13259, 113.51204)",866110.0
10040-25243,,865989.0
9444-52366,,865949.0
9734-29777,"(23.15217, 113.24583)",865596.0
10044-49188,"(23.58062, 113.51297)",865327.0
9736-16041,,865291.0
9747-42134,"(23.19693, 113.31681)",865235.0
10003-58645,,865190.0
10314-54914,,865152.0
9486-51207,"(23.2005, 113.25342)",863761.0
9509-29406,"(23.11814, 113.39192)",862774.0
9444-33458,"(23.04974, 113.24171)",862204.0
9448-16262,"(23.29421, 113.25564)",862157.0
9467-21135,"(23.10507, 113.21604)",861592.0
9484-32337,"(23.12083, 113.26523)",861545.0
10307-35848,,861408.0
10315-41524,"(23.14558, 113.24561)",861395.0
9664-58078,,861316.0
10044-49189,"(23.58062, 113.51297)",861266.0
9472-46844,,860986.0
10004-23047,"(23.19754, 113.33489)",859595.0
10035-44911,"(23.24069, 113.24963)",859488.0
9448-33449,"(23.3042, 113.27915)",859426.0
10026-43224,,857864.0
9422-26724,"(23.1983, 113.35562)",857800.0
10324-45022,"(23.55112, 113.62831)",857636.0
10325-30915,"(23.15449, 113.36028)",857370.0
9741-35474,,857307.0
10325-41984,"(23.17796, 113.39514)",857268.0
10027-18507,,857046.0
9746-25114,"(23.1831, 113.21389)",856607.0
10027-48489,,856321.0
10311-32297,"(23.0735, 113.28907)",855802.0
10037-32526,,855666.0
9506-48052,"(23.63, 113.67326)",855637.0
9444-29007,"(23.061727, 113.290714)",855576.0
9469-21215,"(23.09322, 113.33594)",855564.0
10333-35934,,855224.0
10316-49381,"(23.12575, 113.25878)",854961.0
10039-51016,"(23.44435, 113.48694)",854362.0
9425-51407,"(23.17335, 113.41451)",854316.0
10031-37845,,854055.0
9458-52962,"(23.07862, 113.23428)",853290.0
9439-49814,,852997.0
10312-56811,,852988.0
10003-31921,"(23.20891, 113.23747)",852858.0
9739-51297,,852264.0
9480-44021,"(23.08779, 113.35771)",851889.0
10308-15296,,850868.0
10023-49845,,850783.0
10007-25320,,850093.0
9474-48511,"(23.1434, 113.33672)",848963.0
9475-50169,"(23.16886, 113.44987)",848795.0
10312-16736,"(23.125549, 113.240912)",848704.0
10007-23854,,848604.0
9453-27778,"(23.13365, 113.28101)",848327.0
9459-44278,"(23.14956, 113.35764)",848279.0
9425-10639,,848179.0
9444-44271,,847742.0
9731-44797,"(23.21181, 113.29248)",847723.0
9484-45242,"(23.109262, 113.259738)",847605.0
9481-11235,"(23.10415, 113.2585)",847497.0
10302-19673,"(23.07947, 113.50766)",847089.0
10312-49887,"(23.121538, 113.234002)",846745.0
10010-53379,"(23.0828, 113.33276)",846427.0
9445-35491,,846286.0
9748-14489,"(23.64347, 113.47786)",846271.0
10318-36712,"(23.17507, 113.23232)",846053.0
9452-44895,,846037.0
10042-45839,,845927.0
10307-34623,,845820.0
10311-28014,"(23.08564, 113.29191)",845735.0
9454-12930,"(23.090074, 113.291136)",844928.0
9450-18831,"(23.14679, 113.28766)",844384.0
10322-20368,"(23.34133, 113.37056)",844133.0
10315-54507,"(23.14965, 113.24922)",844066.0
10014-36967,"(23.139261, 113.227146)",844064.0
9451-27894,"(23.13812, 113.27965)",843700.0
9450-40907,"(23.14515, 113.27299)",843415.0
9444-42677,,843100.0
10021-12117,,843009.0
10029-30894,"(23.12186, 113.32453)",842445.0
9467-50997,,842017.0
10027-51982,,841509.0
10328-35084,"(23.13418, 113.30063)",841428.0
10024-45638,,841397.0
9461-35151,,841291.0
10036-16657,"(23.24085, 113.30316)",840841.0
9427-23119,"(23.07464, 113.41647)",840579.0
10326-32484,,840266.0
10310-27929,"(23.405, 113.1713)",840256.0
9454-23371,"(23.09043, 113.29142)",840063.0
9506-51435,"(23.7938, 113.67758)",839998.0
10300-43603,,839076.0
9491-51801,"(23.104375, 113.357497)",839026.0
10031-57588,,838970.0
10303-56266,,838947.0
9453-27874,"(23.13431, 113.27301)",838672.0
9500-28051,"(23.093622, 113.27104)",838605.0
9470-11841,,837882.0
9487-49401,,837880.0
10040-51036,,837730.0
9481-35053,,837691.0
9482-50675,"(23.09875, 113.2682)",836857.0
9442-13568,,836718.0
10013-65408,"(23.23178, 113.21205)",836091.0
9664-14496,,835961.0
9448-37325,"(23.27262, 113.29021)",835946.0
9475-51073,"(23.17102, 113.47478)",835907.0
10332-56879,,835311.0
10302-50521,"(23.06441, 113.51139)",834963.0
10031-51065,,834595.0
9430-34431,"(23.25211, 113.25836)",834587.0
10323-12944,,834502.0
9455-54993,,834403.0
9477-24084,,834341.0
9508-24163,"(23.12975, 113.26683)",833972.0
9437-42331,,833855.0
10315-57981,,833786.0
10316-50805,"(23.12361, 113.26433)",833724.0
10325-15026,"(23.16373, 113.3805)",833384.0
10007-16437,,833213.0
9459-46241,,832665.0
9470-39914,"(23.15221, 113.31914)",832615.0
9475-16617,"(23.16862, 113.43337)",832557.0
10321-43331,"(23.32571, 113.26855)",832399.0
10007-25313,,832161.0
9459-10907,"(23.14875, 113.34195)",832123.0
10034-16427,,831892.0
10321-56725,"(23.35165, 113.25219)",831294.0
9434-51147,,831234.0
9450-30287,"(23.14395, 113.27657)",830695.0
9425-51354,"(23.19395, 113.40411)",830424.0
9453-27195,"(23.13408, 113.2741)",830332.0
9482-29693,"(23.1035, 113.27345)",829675.0
10311-44525,"(23.08564, 113.29191)",829201.0
10043-18961,"(23.1431, 113.30902)",829122.0
9423-28934,"(23.12071, 113.30947)",829029.0
10329-34366,"(23.16186, 113.26329)",828944.0
10307-44146,,828622.0
9452-20054,"(23.12989, 113.28117)",828465.0
9458-65400,"(23.0784, 113.228804)",828370.0
10034-38564,,827944.0
10037-54713,,827801.0
10329-21939,"(23.17004, 113.26348)",827636.0
9458-15909,"(23.08536, 113.22553)",826358.0
10031-45634,,825919.0
9743-19535,,825717.0
9450-20338,"(23.14856, 113.28154)",825465.0
9495-32248,"(23.13995, 113.31471)",825040.0
9467-12731,"(23.119625, 113.229038)",824727.0
9482-40437,,824472.0
9728-38143,"(23.16059, 113.24561)",824444.0
10014-16999,"(23.14617, 113.23923)",823822.0
9506-51362,"(23.62112, 113.59667)",823622.0
9464-59689,"(23.40062, 113.45995)",823135.0
9444-52699,,822652.0
10318-17122,"(23.17901, 113.22796)",822535.0
10038-52245,,822024.0
9746-41677,,821700.0
10044-49186,"(23.58263, 113.51367)",821461.0
10323-25417,,820974.0
10312-40257,,820520.0
9734-1032,"(23.15542, 113.24478)",820479.0
10036-32296,"(23.22261, 113.28617)",820450.0
10325-35211,"(23.16141, 113.35442)",820372.0
9461-46767,,820152.0
10039-10414,"(23.45103, 113.49897)",819827.0
9492-21125,"(23.10715, 113.28515)",819787.0
9459-53201,,818868.0
9734-34824,"(23.14969, 113.24787)",818524.0
10031-39067,,817479.0
9447-38359,,817299.0
9467-23641,"(23.111675, 113.212017)",817117.0
9442-15794,,816395.0
9506-51485,"(23.63, 113.67326)",816103.0
10333-13521,,816038.0
10324-21297,"(23.55361, 113.58306)",815904.0
9479-14995,"(23.1514, 113.3612)",815868.0
9450-16894,"(23.14167, 113.27296)",815768.0
10321-59038,,815713.0
10044-25162,"(23.58271, 113.51333)",814986.0
10315-54511,"(23.14965, 113.24922)",814237.0
9493-11478,,810762.0
10007-52859,,810327.0
10021-56935,,810047.0
9730-39591,"(23.09882, 113.47057)",809858.0
9425-52052,,809242.0
10329-35551,,809141.0
9470-58368,,808875.0
10321-2153,,808774.0
10034-37692,"(23.12488, 113.40398)",808242.0
10038-45161,,808214.0
10007-59441,,807511.0
9664-12636,,807313.0
10040-14701,,807272.0
10029-46372,"(23.11493, 113.33083)",806631.0
10311-47512,"(23.08597, 113.29607)",806475.0
9454-57792,,805041.0
10014-40126,"(23.1466, 113.23428)",804937.0
10022-50624,,804883.0
9424-41147,"(23.098669, 113.366858)",804841.0
9464-12907,"(23.41612, 113.47346)",804300.0
9664-22735,,803942.0
9472-18039,"(23.13055, 113.31656)",803875.0
10310-21021,,803523.0
9999-10854,"(23.16982, 113.30542)",803288.0
9447-11897,,802746.0
10038-45601,,802580.0
9426-35187,"(23.13066, 113.34742)",802238.0
9469-30547,"(23.10167, 113.3094)",801968.0
10029-27014,"(23.11042, 113.33391)",801906.0
10311-36094,"(23.08029, 113.2864)",801693.0
9459-14063,"(23.13914, 113.34164)",801399.0
9437-55097,,801363.0
10332-47607,,800476.0
9742-48902,,800262.0
10326-37996,,800192.0
9466-15043,"(23.17295, 113.33518)",800186.0
10016-47702,"(23.080797, 113.373893)",799759.0
10004-44734,"(23.1876, 113.331)",799717.0
9444-50631,,799484.0
10027-50792,,799429.0
9425-23402,"(23.19244, 113.39288)",799380.0
9440-11678,"(23.28337, 113.20357)",798986.0
10312-56912,,798430.0
10034-40325,"(23.14593, 113.39971)",798386.0
10027-48477,,798079.0
9452-10787,"(23.12752, 113.28706)",797764.0
9508-47377,,797594.0
9745-24338,,797422.0
10034-26848,"(23.14904, 113.41602)",797397.0
9426-35357,"(23.12692, 113.3491)",796907.0
9441-37402,,796484.0
9422-29228,,796125.0
9731-54189,,796004.0
9469-10444,,795894.0
9736-54949,,795596.0
9448-15304,"(23.31252, 113.29579)",795489.0
9746-27644,"(23.16304, 113.20869)",795353.0
10015-52264,,795115.0
10043-58067,,794956.0
10003-17867,"(23.20465, 113.24323)",794549.0
10038-59148,,794417.0
9422-26725,"(23.1983, 113.35562)",794327.0
9692-55877,,794243.0
9479-52455,,794126.0
10323-18565,,794021.0
10021-18244,,793942.0
9462-58798,,793341.0
9470-37337,"(23.14178, 113.33172)",793298.0
10032-35821,,793102.0
9466-56417,,792891.0
9451-57669,"(23.13918, 113.2845)",792805.0
9460-65419,"(23.076012, 113.193611)",792431.0
10312-45507,,792343.0
10029-46403,,792177.0
10312-16834,"(23.13386, 113.24326)",791623.0
10023-45449,,791619.0
10314-19145,"(23.08489, 113.31596)",791544.0
9473-17445,,791460.0
10032-65402,,791255.0
9441-18542,"(23.05156, 113.3694)",791121.0
10314-49078,,790622.0
9482-25688,"(23.110678, 113.271325)",790565.0
9748-33335,"(23.62139, 113.42167)",790547.0
9472-20117,"(23.1246, 113.31655)",790350.0
9481-57775,,790034.0
10024-2813,,789971.0
10322-16217,"(23.29737, 113.35638)",789676.0
9422-26447,"(23.19235, 113.35395)",789468.0
10007-39241,,788537.0
9481-52732,"(23.10415, 113.2585)",788432.0
9423-23774,"(23.10738, 113.30834)",788068.0
9675-47017,,787933.0
9447-28649,,787832.0
9422-32577,"(23.1969, 113.35025)",787663.0
10315-40916,"(23.15031, 113.254)",787238.0
10043-41738,"(23.14678, 113.2955)",786404.0
10018-57327,,786319.0
9423-23446,"(23.12847, 113.31205)",786290.0
9434-36319,,785467.0
10324-49705,"(23.55146, 113.5861)",785401.0
9444-58056,,784856.0
10307-23345,,784691.0
10308-13531,,784225.0
10318-41226,"(23.19961, 113.22711)",783559.0
10300-10951,,783381.0
9488-19321,"(23.13708, 113.30941)",783343.0
9469-52037,,782614.0
10007-57592,,782350.0
10310-47382,,782152.0
10316-27451,"(23.12556, 113.26417)",782100.0
9480-15764,"(23.09239, 113.35536)",782025.0
9748-57699,,781832.0
9475-36198,"(23.12487, 113.46447)",781754.0
9495-56131,"(23.13696, 113.31386)",781405.0
10332-17552,,780828.0
10328-32227,"(23.13269, 113.29404)",780827.0
9500-28097,"(23.098044, 113.279514)",779220.0
9455-42543,,778909.0
9434-12187,,778806.0
9475-39441,"(23.12817, 113.45617)",778619.0
10299-14361,"(23.12787, 113.3636)",778305.0
9748-23917,"(23.63917, 113.56084)",777823.0
9488-23477,"(23.13808, 113.30377)",777790.0
10323-38201,,777411.0
10324-53933,,777164.0
9462-49404,,776977.0
10040-29997,,776971.0
9729-31841,"(23.15832, 113.33732)",776925.0
9506-51406,"(23.67649, 113.66716)",776916.0
10332-26249,,775473.0
10027-14216,,774725.0
10309-22723,,774703.0
10321-47185,"(23.33855, 113.23652)",774649.0
10327-58174,,774354.0
10308-30262,,774251.0
10308-20718,,774233.0
9450-55372,,773923.0
9664-40709,,773902.0
10323-44928,,773874.0
10310-24108,,773774.0
9506-44566,"(23.69084, 113.67216)",773196.0
10021-56924,,773096.0
10312-37922,"(23.126498, 113.241755)",771751.0
10320-33274,"(23.21922, 113.26845)",771201.0
9506-55784,"(23.60326, 113.67034)",770999.0
9469-56449,,770555.0
10024-65509,,770442.0
10015-45401,,770273.0
10324-35473,"(23.53042, 113.58517)",770011.0
9472-45001,,769557.0
10329-21513,"(23.17868, 113.27094)",769536.0
9429-35524,,769442.0
10013-50312,,768694.0
9748-58556,"(23.60383, 113.51447)",768246.0
9487-29553,"(23.1446, 113.2165)",768175.0
9445-50585,,768124.0
9742-18607,,767821.0
9486-14501,"(23.2029, 113.26447)",767780.0
10037-13371,,767646.0
9422-40984,"(23.19259, 113.37267)",767549.0
9728-12594,"(23.16916, 113.24064)",767105.0
10021-12260,"(23.54524, 113.47525)",766797.0
10310-46467,,766642.0
9741-11806,,766561.0
10021-37441,,766240.0
10041-47864,,766016.0
10317-50242,"(23.16815, 113.24548)",765687.0
10313-32024,"(23.106225, 113.242969)",765543.0
9449-29181,"(23.38948, 113.29761)",765319.0
10321-59037,,765271.0
9506-48315,"(23.63974, 113.67102)",765203.0
9481-35772,"(23.09374, 113.26109)",765153.0
10027-35983,,764803.0
10026-26708,"(23.22528, 113.38862)",764538.0
9461-41757,,764363.0
9743-2612,,764267.0
10314-57569,,764190.0
9454-42151,"(23.09127, 113.29294)",764072.0
10302-50517,"(23.04771, 113.51511)",763797.0
9742-65463,,763752.0
9500-54311,"(23.09969, 113.27959)",763383.0
10017-38187,"(23.12135, 113.28798)",763320.0
9457-13406,"(23.3946, 113.41173)",763202.0
10040-57063,,762984.0
10023-51003,,762872.0
9475-40682,"(23.17912, 113.47261)",762676.0
9452-27737,"(23.12499, 113.28282)",762027.0
9458-15512,"(23.05666, 113.21338)",761614.0
9474-52232,,761611.0
9740-52858,,761466.0
9455-42569,,761128.0
10040-33241,"(23.1883, 113.443)",761091.0
9436-41331,,761078.0
9745-24319,,760999.0
10306-1105,,760679.0
10013-17984,"(23.2164, 113.22057)",760470.0
10327-48251,,760422.0
9739-56985,,759806.0
10321-51854,"(23.35845, 113.26737)",759542.0
10024-26158,,759456.0
9453-31232,"(23.13568, 113.2746)",759440.0
9500-20034,"(23.09567, 113.27025)",759027.0
9439-37677,"(23.18077, 113.24545)",759001.0
9438-56458,,758996.0
10313-15895,"(23.11466, 113.25583)",758509.0
9452-47891,,758184.0
10014-58464,,758182.0
10329-34233,"(23.15992, 113.26799)",758130.0
9664-18357,,757803.0
9474-41411,"(23.13728, 113.33275)",757268.0
10312-11607,"(23.12806, 113.23465)",756981.0
10329-34277,"(23.15501, 113.2673)",756710.0
9730-50559,"(23.08331, 113.49511)",756581.0
10015-18345,"(23.10566, 113.52693)",756555.0
10333-39132,,756493.0
9475-13681,,756168.0
10321-51911,,755905.0
9675-15891,,755731.0
10318-65407,"(23.1895, 113.21997)",755447.0
9479-26657,"(23.16125, 113.32419)",755084.0
9482-49712,,754886.0
10036-21474,"(23.22525, 113.29931)",754633.0
10042-29411,"(23.13194, 113.37779)",754078.0
10016-24913,"(23.093772, 113.402356)",753848.0
10021-17760,,753729.0
9484-14508,"(23.112867, 113.262467)",753405.0
9486-56161,,752594.0
10300-45053,,752292.0
9734-42411,,752252.0
9450-58535,"(23.14392, 113.27289)",751585.0
9459-17068,"(23.13175, 113.35169)",751110.0
10017-27943,"(23.12056, 113.29195)",750865.0
10004-14545,"(23.19415, 113.33156)",750737.0
10321-13414,"(23.34005, 113.29818)",750076.0
9747-42142,"(23.19921, 113.31736)",750021.0
10313-34024,"(23.11187, 113.238506)",749638.0
10332-55007,,749468.0
10309-47337,,749333.0
10008-28105,"(23.24659, 113.85911)",749235.0
10022-52471,,749167.0
10308-20174,,749019.0
10324-12753,"(23.53423, 113.64825)",748811.0
9734-51617,,748774.0
9675-12527,,748738.0
10300-45821,,748705.0
10320-58876,,747953.0
10322-23675,"(23.30186, 113.32881)",747872.0
10326-15323,,747607.0
9470-23337,"(23.14488, 113.32676)",747432.0
10311-50105,"(23.0729, 113.288)",746447.0
9451-44068,,745961.0
9745-30167,,745836.0
9464-59913,"(23.40321, 113.45612)",745755.0
10318-17874,"(23.18936, 113.24546)",745226.0
9455-13744,,745048.0
10027-21091,,744998.0
10318-30571,"(23.18641, 113.22753)",744767.0
9452-45324,,744625.0
9426-50004,,744320.0
9423-41141,"(23.12492, 113.30908)",743709.0
9444-50778,"(23.05844, 113.24118)",743119.0
9466-14902,,742607.0
10317-57864,"(23.16273, 113.24631)",742201.0
9500-32567,"(23.09008, 113.26832)",742134.0
9444-32361,"(23.068171, 113.298795)",741689.0
10321-32884,,741340.0
10325-13069,"(23.16427, 113.35295)",741064.0
9458-54348,,740441.0
9461-42547,,739658.0
9434-54622,,739588.0
10305-52013,"(23.25231, 113.26476)",739447.0
10029-46384,"(23.12166, 113.32306)",739229.0
10040-16138,"(23.2684, 113.41)",739132.0
9475-53937,"(23.13751, 113.45248)",738904.0
10015-20897,"(23.1199, 113.5175)",738767.0
9484-16281,"(23.11152, 113.27645)",738746.0
9475-58919,"(23.14553, 113.44063)",738741.0
10327-53006,"(23.1633, 113.31198)",738588.0
10021-49167,,738456.0
9466-44938,"(23.17212, 113.34256)",737898.0
9437-38234,,737619.0
10007-40022,,737391.0
10007-35991,,737224.0
9675-56972,,735747.0
9451-38126,"(23.13659, 113.27583)",735436.0
10037-17354,,734803.0
9462-56307,,734793.0
9736-46065,,734650.0
9448-49982,"(23.27685, 113.27941)",733955.0
9675-53067,,733688.0
9440-56101,"(23.27338, 113.20724)",733535.0
9484-44345,"(23.11635, 113.25636)",733500.0
9736-39667,,733450.0
9464-31581,,733342.0
9743-51852,,733330.0
9430-18306,"(23.25695, 113.24562)",733326.0
10306-1227,,731864.0
9423-24645,"(23.11611, 113.3084)",731227.0
10022-33165,,730461.0
10015-23751,"(23.1206, 113.50645)",730340.0
9483-28973,"(23.10138, 113.4225)",730247.0
10004-27056,"(23.19022, 113.32805)",730241.0
9440-37352,"(23.24445, 113.21583)",729826.0
10037-65406,,729321.0
9664-33913,"(22.81166, 113.52249)",728985.0
9439-54475,,728782.0
9740-41517,,728382.0
10034-20837,"(23.12741, 113.39951)",727575.0
9488-23491,"(23.13762, 113.30469)",726795.0
9731-30217,,726348.0
9439-44717,,725794.0
10044-10865,"(23.56531, 113.53856)",725688.0
9488-48645,,725612.0
10312-53211,"(23.13336, 113.23861)",725382.0
10021-33254,,724516.0
10010-31177,"(23.08448, 113.32156)",724434.0
10321-22177,"(23.34588, 113.27925)",723304.0
10302-11552,,723145.0
10043-39007,,723082.0
9423-12781,"(23.12024, 113.31099)",722973.0
9454-31959,"(23.09836, 113.29084)",722490.0
9436-59657,,721714.0
10037-65419,,721566.0
10041-26037,"(23.1848, 113.24916)",721158.0
10314-13834,"(23.05986, 113.30449)",721145.0
10299-28464,"(23.12183, 113.37515)",720421.0
10015-49215,,720395.0
9445-11077,,720358.0
9730-53199,"(23.09853, 113.4837)",719878.0
9442-38996,,719835.0
10031-35676,,719166.0
9472-18034,"(23.13055, 113.31656)",719121.0
9509-35287,"(23.11151, 113.40438)",718991.0
9477-11006,"(23.29287, 113.21795)",718786.0
9462-56303,,718416.0
9508-57997,,717766.0
10312-53221,"(23.13599, 113.24013)",717189.0
10033-11434,"(23.15703, 113.4234)",717112.0
10313-48961,,717079.0
9459-34881,"(23.14746, 113.33403)",716786.0
9734-28167,"(23.15627, 113.24815)",716306.0
10035-28304,"(23.22622, 113.28371)",716197.0
10307-33638,,716192.0
9748-12617,"(23.65443, 113.34675)",716111.0
10013-25154,"(23.20905, 113.2201)",715813.0
10332-32944,,715599.0
10323-11044,,715543.0
9484-1004,,715354.0
9745-46536,,715270.0
